구분번호,발생년월,주야,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령대,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령대,피해운전자 상해정도
2013033475,2013년 3월,주간,경상북도 포항시 북구,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,41-50세,상해없음,보행자,여,12세 이하,중상
2013048355,2013년 4월,주간,경상북도 포항시 북구,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,보행자,남,12세 이하,경상
2013136248,2013년 8월,주간,경상북도 포항시 남구,중상사고,0,1,0,0,차대사람 - 기타,기타,습기,맑음,단일로 - 기타,승용,남,51-60세,상해없음,보행자,남,12세 이하,중상
2013142369,2013년 9월,주간,경상북도 포항시 북구,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,51-60세,상해없음,보행자,여,12세 이하,중상
2013160832,2013년 10월,주간,경상북도 포항시 남구,중상사고,0,1,0,0,차대사람 - 기타,기타,건조,맑음,단일로 - 횡단보도부근,화물,남,65세 이상,상해없음,보행자,남,12세 이하,중상
2014026512,2014년 2월,주간,경상북도 포항시 북구,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,21-30세,상해없음,보행자,남,12세 이하,경상
2014031801,2014년 3월,주간,경상북도 포항시 북구,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로부근,승용,여,61-64세,상해없음,보행자,여,12세 이하,경상
2014058502,2014년 4월,주간,경상북도 포항시 남구,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 횡단보도상,승용,여,31-40세,상해없음,보행자,남,12세 이하,경상
2014076689,2014년 5월,주간,경상북도 포항시 남구,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,단일로 - 횡단보도상,승용,남,41-50세,상해없음,보행자,남,12세 이하,경상
2014127562,2014년 8월,주간,경상북도 포항시 남구,경상사고,0,0,1,0,차대사람 - 횡단중,기타,건조,맑음,교차로 - 교차로안,승용,여,21-30세,상해없음,보행자,남,12세 이하,경상
2014165829,2014년 10월,주간,경상북도 포항시 남구,경상사고,0,0,1,0,차대사람 - 기타,기타,건조,맑음,단일로 - 기타,승용,여,41-50세,상해없음,보행자,여,12세 이하,경상
2015014876,2015년 1월,주간,경상북도 포항시 남구,중상사고,0,1,0,0,차대사람 - 기타,기타,적설,눈,단일로 - 기타,승용,여,41-50세,상해없음,보행자,남,12세 이하,중상
2015108669,2015년 6월,주간,경상북도 포항시 남구,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,습기,비,단일로 - 기타,승용,여,31-40세,상해없음,보행자,남,12세 이하,경상
2015109438,2015년 7월,주간,경상북도 포항시 남구,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,보행자,남,12세 이하,중상
2015122137,2015년 7월,주간,경상북도 포항시 남구,중상사고,0,1,4,0,차대차 - 추돌,신호위반,건조,맑음,교차로 - 교차로부근,승용,남,21-30세,상해없음,승합,남,61-64세,상해없음
2015174314,2015년 10월,주간,경상북도 포항시 남구,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,화물,남,41-50세,상해없음,보행자,여,12세 이하,중상
